,ict_fvg,ict_order_block,ict_liquidity_sweep,ict_mss
2024-05-15,0.013301392681536628,0.004563292753310577,-0.007471423365291607,0.0074699556835549075
2024-05-16,-0.0018795849905786088,-0.0003333333333332966,0.0,0.0
2024-05-17,-4.59754594173134e-07,0.0,0.0,0.0
2024-05-20,-0.002247034605683318,0.0,0.00029143626450989224,-0.0003789397848271703
2024-05-21,-0.0019517774441222269,0.0,-0.0008848758892404662,0.0006452488106174492
2024-05-22,-0.004535462811544377,-0.0012823157764242366,-0.003736811517647487,-0.0007844531974251501
2024-05-23,-0.005421939412380117,0.00152436820452162,0.0014430411589936298,0.00014011670293090361
2024-05-24,-0.006175631118198521,-0.005645215956038618,-0.00459678506627903,-0.0019082203067478654
2024-05-28,-0.0037144309383695395,-0.0001666666666666483,5.9900975324378436e-05,-0.0001666666666666483
2024-05-29,0.007284850782262264,0.0,-0.0010216849642731285,-0.00020007137930599939
2024-05-30,0.0010293439335111731,0.0,0.0014078838941842253,-0.0036966299652834156
2024-05-31,0.004748889440669091,-0.0034042477679900873,-0.0076439999448632,0.003885856405406063
2024-06-03,-0.010531972764721731,-0.0001666666666666483,0.002046765210207635,-0.005424494975189376
2024-06-04,0.005746525641917355,0.0,0.0038533609471482766,0.001751353304174641
2024-06-05,0.00833368322744632,0.0031361743330435843,0.008382999929761326,0.005726189834808437
2024-06-06,-0.0014853356378610183,-0.0001666666666666483,-0.002084871788109788,-0.0003333333333332966
2024-06-07,0.0036104660892570806,0.0,-0.00258585342985973,-0.0002248938513694787
2024-06-10,-0.0015825284897953429,0.0,-0.000480295335387515,-0.00023534214701381728
2024-06-11,-0.011149048930586658,-0.002758557568802944,-0.0026036364180769267,-0.0023903107191100004
2024-06-12,0.01243961594790921,-0.008370811031654157,-0.0007402027114117304,0.0012842834324287011
2024-06-13,0.0035152138801166632,-0.0004999999999999449,0.003044644540760588,-0.0001666666666666483
2024-06-14,0.0031880615748711705,0.0,-0.00017951062492449488,-0.0013950296868573409
2024-06-17,0.0032500274420068642,0.0,0.0027691829696427916,-0.0019415254432624263
2024-06-18,0.001014365129386352,0.0,0.0007831038841048521,-0.000308788158294937
2024-06-20,-0.004000637495207071,0.0,0.0,0.0
2024-06-21,0.001188637265304049,0.0,-0.0001916849886963723,-0.0005124599378596439
2024-06-24,0.002637843597007805,0.0,0.0004952869428829221,-0.002616849719915937
2024-06-25,-0.004000341101021543,0.0,0.0016170677498095198,-0.002819800368906722
2024-06-26,-0.0029822379381441166,0.0,0.0010975681169109741,0.0
2024-06-27,-0.00044226493126231503,0.0,0.0,0.0
2024-06-28,-0.0031985107861226547,-0.0013744625275934341,0.006642028339873596,-0.0013744625275934341
2024-07-01,-0.004364090697175471,-0.0001666666666666483,0.0019184362263979793,-0.0030420197650954384
2024-07-02,0.0014466253038489807,0.0,-0.0009117735087771361,0.0
2024-07-03,0.004546839384338419,0.0,-0.0008392743560254878,0.0024709450897217877
2024-07-05,0.00036648308779962946,-0.0016329153151394271,-0.001858328040343582,0.003052404932912589
2024-07-08,-0.005385335264595614,-0.0001666666666666483,0.00224793252109845,-0.0025448251529642807
2024-07-09,-0.003011218071287569,0.0,-0.0001666666666666483,0.0
2024-07-10,0.006675687321413992,0.0,0.0,0.0
2024-07-11,0.005425357782332663,0.0014239456243712034,0.0,0.0014239456243712034
2024-07-12,-0.006750086257876764,-0.0033041854977023943,0.0,-0.0001666666666666483
2024-07-15,0.006987271363869674,-0.000581444843715806,0.0,0.0
2024-07-16,0.009252381337915505,0.0052163882174314224,0.0,0.0
2024-07-17,-0.009451943133957919,0.001970831626397773,0.0,0.002137854602164868
2024-07-18,0.007436331898200033,-0.0015723903899124148,0.0,-0.0001666666666666483
2024-07-19,0.005699170537610598,0.001230308683581205,0.0,0.0
2024-07-22,0.0031944994928170267,0.0,0.0,0.0
2024-07-23,0.002710184351567113,0.0,0.0,0.0
2024-07-24,0.004666986496960401,0.007557115102721612,0.0,0.007557115102721612
2024-07-25,-0.007576638002848246,-0.0003333333333332966,0.0,-0.0003333333333332966
2024-07-26,-0.017931629785355008,-0.008228492692208933,0.0,0.0
2024-07-29,-0.0033103641249578875,0.0,0.0,0.0
