Date,tsmom_12m,tsmom_ensemble,xsec_momentum,green_line_200d,str_reversal_5d,low_vol_xsec,turn_of_month,bench_6040,spy
2019-04-18,0.001762149493852905,0.0019435904770745388,0.0019969503758212543,0.0019786766319013875,0.0006136722930425525,0.0017853978457521588,0.0,0.0021333111994185304,0.0019692114459270993
2019-04-22,-0.002601027302854292,-0.0023359613206396118,-0.0023911427171001472,-0.0030814075579869518,0.0006565202601571096,-0.0027093418418992587,0.0,-5.262840818418555e-05,0.0008616959295466575
2019-04-23,0.004409239795053036,0.0032005521811465524,0.0032081818188323128,0.0033213099663353765,0.0006662296190184372,0.0009562198774992717,0.0,0.006117878376059949,0.008991809703647213
2019-04-24,0.0031819971842914196,0.002469440607254938,0.0029342425670809986,0.0015089792399352385,0.0013725148295245125,0.0038127588451397606,0.0,0.00018686923193862444,-0.0022194828357984253
2019-04-25,5.754560139685131e-05,-0.00010045065526834745,0.0007178746215372708,0.0006388757199740508,-0.0009529440631641841,0.0005689768551499072,0.0,-0.0008612285150374711,-0.0006157571773541815
2019-04-26,0.0028395530861339106,0.0025109971303526658,0.002066921281429041,0.003708087883674428,0.0023175923926834546,0.0023898945200048973,0.0013048109540508722,0.0038544597252795133,0.004656843447931935
2019-04-29,-0.0018491733786860278,-0.002243587671343345,-0.0022317707131234935,-0.002220727661181486,-0.0020162266801130066,-0.0031495916493303987,-0.0016883809086573967,0.00010945554252947962,0.0015673498567969624
2019-04-30,-0.00012619821883939273,0.000701795852167517,0.00024455334064943764,0.0006494023676528143,-0.0007838234552986057,0.0012217050657233543,0.0008999080467097712,0.001100982839694087,0.0005102674124852769
2019-05-01,0.0013020357446731454,-7.070764323819105e-05,0.0020570695567903538,-3.99467765234485e-05,0.00044908804306879467,0.0022286142475415878,-0.003773291834910969,-0.004691288723219688,-0.0075162234841033015
2019-05-02,0.0011693900543761062,-0.00028519822625462936,0.0007377357961890668,-0.0013420393072986836,-0.00045274126414238407,-0.0007593395439019607,-0.0031517333458603875,-0.002431511850929713,-0.002158950379291591
2019-05-03,0.0011670967047996308,0.0033203457222272395,-0.0006045497003570797,0.004883109765953622,-0.0035058049842532583,-0.0034973865172907266,0.006668057033993406,0.0064047493259084655,0.009788028310793617
2019-05-06,0.0009615183708233347,-0.0008656685959532209,0.0008575515377809162,-0.001428955141256023,0.0004674496310360678,0.0024632501676953873,-0.0008649868990094641,-0.0014453234494101296,-0.0041151479027473625
2019-05-07,-0.0004206484069592352,-0.004339278370090497,0.0014139195509659318,-0.005961081562568657,-0.004650918427278857,0.004117909783007303,-0.0005897716036578159,-0.008658410023922158,-0.016700042858393882
2019-05-08,-0.001511179350477197,-0.0012686535738478035,-0.0010579980457113378,-0.0010145907419535872,0.0010964086146882726,-0.0004322516251454713,0.0,-0.0015873843356309703,-0.0013890990873774989
2019-05-09,0.0014330615351544796,-0.0002708940976410828,0.0017701664771110882,-0.00077620390963923,-0.0030454232324972955,0.0013697700552331611,0.0,-0.0007577146063671989,-0.0030252806012430744
2019-05-10,0.00023672871985206962,0.0015489544034384998,-1.847766669839085e-05,0.002268227868258376,0.000550689083144661,-0.0011728506705513317,0.0,0.0027500675091127746,0.005022719059721181
2019-05-13,-0.002123683349216127,-0.006478015818629616,0.0008302118321442602,-0.007965316703906362,-0.005883083893505357,0.004471070369937952,0.0,-0.01308036397392207,-0.02513002741427528
2019-05-14,-0.00020231374811657636,0.002538576178241676,-0.0013701587075980438,0.0032662937511119994,0.005253710990076643,-0.001166017726655005,0.0,0.0050512312453201424,0.00904383671706288
2019-05-15,0.0020994646421443838,0.003137103857040605,0.0017975212759620924,0.003205315642358938,0.0024116533213190228,0.0005591947438344233,0.0,0.004790867363055895,0.005857337623488945
2019-05-16,0.0018528314068290586,0.0025367268234642954,0.0012750033471285816,0.002378098225240621,0.003511941463396554,0.00039572272080009994,0.0,0.004770931352477303,0.009261476731985852
2019-05-17,0.0017161158783647473,-0.0009308334999389579,0.0030081789212136776,-0.002194217129607166,-0.0034078709347394646,0.0031102490247345103,0.0,-0.00369163383684612,-0.00646525085562899
2019-05-20,-0.0037361492904538374,-0.0040558101758370714,-0.003093171762714499,-0.004378761876594538,-0.0023235998119174326,0.0013760169619053241,0.0,-0.004641882121680307,-0.006612123902554057
2019-05-21,0.0020640037422611493,0.003389055478125905,0.0008178805958205046,0.003796358569561367,-0.0030577158444788865,-0.001402131258826717,0.0,0.004959100153657703,0.009015751549264595
2019-05-22,0.003051158915183292,0.0009744302585416614,0.003828695381909414,-5.311014809217997e-06,0.002855204525567563,0.0018813965022240115,0.0,-0.0006405231258209243,-0.0030717322746810494
2019-05-23,0.0017712872933437983,-0.001664163077440624,0.003679904175554829,-0.0029080130914983272,0.007983491189798925,0.002177301712257865,0.0,-0.004895378773537939,-0.012218481973059858
2019-05-24,-0.0017497996555912376,0.000305254772789352,-0.0026186874510688973,0.0007623932756333984,-0.0019554270159817203,-0.0009025417874035759,0.0,0.001249246772790924,0.0022683374734333572
2019-05-28,0.000575267302963029,0.00010456830820191248,0.0013131427516357317,-0.001016586431880327,-0.0002613534656917214,0.004198614503665242,0.0,-0.0038292557382856524,-0.009300298541595087
2019-05-29,-0.0018338471089411404,-0.002189437136291464,-0.001059128782786006,-0.0020356063051550676,-0.0020967083276755712,0.0009861042885145129,-0.002249512983639638,-0.004174909818421924,-0.006711018430235027
2019-05-30,0.0035258305899484505,0.0032059223658727726,0.0037820770748804564,0.0030289423962158806,-0.0032488601858543377,0.0012476459223534143,0.0022047704326138584,0.0030857995419664606,0.0027312271463253435
